provider,model,dataset,language,acoustic_profile,clean_wer,snr_20_wer,snr_10_wer,snr_5_wer,snr_0_wer,noise_deg_pp,robustness_rank_within_dataset
aws_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.09090909091,,,,,,
aws_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.04237288136,,,,,,
aws_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,0.9714285714,,,,,,
aws_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.08974358974,,,,,,
aws_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,0.003984063745,,,,,,
aws_cloud,standard,librispeech_test_other_subset,en-US,harder_read,0.03550295858,,,,,,
aws_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.01744186047,,,,,,
aws_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,0.03367003367,,,,,,
aws_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.03217158177,,,,,,
aws_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,0.08415841584,,,,,,
aws_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,0.03629032258,,,,,,
aws_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.07331378299,,,,,,
azure_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.1148325359,,,,,,
azure_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.05508474576,,,,,,
azure_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,0.96875,,,,,,
azure_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.08333333333,,,,,,
azure_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,0.003984063745,,,,,,
azure_cloud,standard,librispeech_test_other_subset,en-US,harder_read,0.07692307692,,,,,,
azure_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.02325581395,,,,,,
azure_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,0.5589225589,,,,,,
azure_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.1581769437,,,,,,
azure_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,0.2772277228,,,,,,
azure_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,0.07258064516,,,,,,
azure_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.1612903226,,,,,,
google_cloud,balanced,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.1339712919,,,,,,
google_cloud,balanced,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.08474576271,,,,,,
google_cloud,balanced,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,1,,,,,,
google_cloud,balanced,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.1346153846,,,,,,
google_cloud,balanced,librispeech_test_clean_subset,en-US,clean_read,0.01992031873,,,,,,
google_cloud,balanced,librispeech_test_other_subset,en-US,harder_read,0.1124260355,,,,,,
google_cloud,balanced,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.02906976744,,,,,,
google_cloud,balanced,mls_german_test_subset,de-DE,multilingual_audiobook,0.07744107744,,,,,,
google_cloud,balanced,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.04289544236,,,,,,
google_cloud,balanced,voxpopuli_de_test_subset,de-DE,far_field_plenary,0.1485148515,,,,,,
google_cloud,balanced,voxpopuli_en_test_subset,en-US,far_field_plenary,0.09677419355,,,,,,
google_cloud,balanced,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.1348973607,,,,,,
huggingface_local,balanced,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.09090909091,0.0956937799,0.1244019139,0.1770334928,0.4545454545,36.36363636,1
huggingface_local,balanced,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.07203389831,0.2203389831,0.5805084746,0.6355932203,0.8559322034,78.38983051,3
huggingface_local,balanced,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,0.9428571429,0.9142857143,0.9428571429,0.9714285714,1,5.714285714,3
huggingface_local,balanced,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.358974359,0.4038461538,0.5641025641,0.6474358974,0.8057553957,44.67810367,3
huggingface_local,balanced,librispeech_test_clean_subset,en-US,clean_read,0.00796812749,0.01593625498,0.02788844622,0.02788844622,0.09163346614,8.366533865,1
huggingface_local,balanced,librispeech_test_other_subset,en-US,harder_read,0.04733727811,0.08284023669,0.1420118343,0.2485207101,0.4023668639,35.50295858,1
huggingface_local,balanced,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.02325581395,0.02906976744,0.05813953488,0.08720930233,0.2558139535,23.25581395,1
huggingface_local,balanced,mls_german_test_subset,de-DE,multilingual_audiobook,0.06060606061,0.08417508418,0.09427609428,0.1548821549,0.2626262626,20.2020202,2
huggingface_local,balanced,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.04142011834,0.0509383378,0.0563002681,0.09651474531,0.1581769437,11.67568254,2
