provider,model,dataset,language,acoustic_profile,samples,final_latency_ms_p50,final_latency_ms_p95,end_to_end_rtf_mean,end_to_end_rtf_p95,provider_compute_rtf_mean,throughput_audio_sec_per_sec,admissible,admissibility_flags
aws_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,9520.553636,9643.036181,0.9950664356,1.520929824,0.9094300023,1.115006066,true,
aws_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,9516.429724,11091.38533,1.115812811,1.494006341,1.01371614,0.9644983023,false,embedded_rtf_gt_1
aws_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,9537.621093,11098.97383,0.6842404882,0.9155778774,0.6226968865,1.55389051,true,
aws_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,9558.590766,9831.718277,1.04530683,1.603263752,0.9521003466,1.032017389,false,embedded_rtf_gt_1
aws_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,10,9562.692316,10912.23807,1.532856815,2.845392666,1.390792986,0.9317971883,false,embedded_rtf_gt_1
aws_cloud,standard,librispeech_test_other_subset,en-US,harder_read,10,9437.330894,9571.740072,2.473928829,4.193690256,2.276161805,0.5364346984,false,embedded_rtf_gt_1
aws_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,9435.91093,9668.028013,2.116308277,4.095427329,1.949717684,0.5497346257,false,embedded_rtf_gt_1
aws_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,10,9527.114045,10853.11743,0.5954576107,0.7603877011,0.5436113097,1.726491577,true,
aws_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,11645.81933,11792.8868,0.7781566293,0.8877430269,0.713512401,1.294672024,true,
aws_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,9505.498239,11858.3394,1.421042633,2.571607458,1.297999767,0.8778202583,false,embedded_rtf_gt_1
aws_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,10,9511.770185,10839.22924,1.912593903,5.782120614,1.758390826,1.0694172,false,embedded_rtf_gt_1
aws_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,11614.25454,13105.68004,1.035344801,1.746774198,0.9543897321,1.132399928,false,embedded_rtf_gt_1
azure_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,2497.001524,5517.97309,0.2664961545,0.3344540094,0.2443136535,3.651152404,true,
