provider,model,dataset,language,acoustic_profile,wer,rtf_mean,latency_p95,success_rate,benchmark_status
aws_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.09090909091,0.9950664356,9643.036181,1,success
aws_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.04237288136,1.115812811,11091.38533,1,success
aws_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,0.9714285714,0.6842404882,11098.97383,1,success
aws_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.08974358974,1.04530683,9831.718277,1,success
aws_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,0.003984063745,1.532856815,10912.23807,1,success
aws_cloud,standard,librispeech_test_other_subset,en-US,harder_read,0.03550295858,2.473928829,9571.740072,1,success
aws_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.01744186047,2.116308277,9668.028013,1,success
aws_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,0.03367003367,0.5954576107,10853.11743,1,success
aws_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.03217158177,0.7781566293,11792.8868,1,success
aws_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,0.08415841584,1.421042633,11858.3394,1,success
aws_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,0.03629032258,1.912593903,10839.22924,1,success
aws_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.07331378299,1.035344801,13105.68004,1,success
azure_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.1148325359,0.2664961545,5517.97309,1,success
azure_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.05508474576,0.2805478901,5516.775882,1,success
azure_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,0.96875,0.2601519442,8597.553789,0.9,success
azure_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.08333333333,0.2883368887,4488.731556,1,success
azure_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,0.003984063745,0.3562504486,7754.313692,1,success
azure_cloud,standard,librispeech_test_other_subset,en-US,harder_read,0.07692307692,0.3999034609,3960.787995,1,success
azure_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.02325581395,0.3364595348,2150.876174,1,success
azure_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,0.5589225589,0.149533893,4776.458588,1,success
azure_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.1581769437,0.313686731,6595.171042,1,success
azure_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,0.2772277228,0.3179169021,4338.020354,1,success
azure_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,0.07258064516,0.4124367307,8269.714014,1,success
azure_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,0.1612903226,0.3347102443,8391.306283,1,success
google_cloud,balanced,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,0.1339712919,0.4396565494,12895.28869,1,success
google_cloud,balanced,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,0.08474576271,0.3120025492,4511.131371,1,success
google_cloud,balanced,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,1.342857143,0.190358349,4373.992639,1,success
google_cloud,balanced,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,0.1346153846,0.1948561354,2568.119269,1,success
google_cloud,balanced,librispeech_test_clean_subset,en-US,clean_read,0.01992031873,0.2430732513,3662.415925,1,success
google_cloud,balanced,librispeech_test_other_subset,en-US,harder_read,0.1124260355,0.3112413371,2575.891956,1,success
google_cloud,balanced,mini_librispeech_dev_clean_2_subset,en-US,clean_read,0.02906976744,0.3022297647,2154.858327,1,success
google_cloud,balanced,mls_german_test_subset,de-DE,multilingual_audiobook,0.07744107744,0.2371128091,5468.144632,1,success
google_cloud,balanced,mls_spanish_test_subset,es-ES,multilingual_audiobook,0.04289544236,0.2162394129,3981.238526,1,success
