provider,model,acoustic_profile,datasets,total_samples,wer_mean,cer_mean,rtf_mean,latency_p95,success_rate
aws_cloud,standard,clean_read,"librispeech_test_clean_subset,mini_librispeech_dev_clean_2_subset",20,0.01071296211,0.001987681971,,,
aws_cloud,standard,crowdsourced_mobile,"fleurs_en_us_test_subset,fleurs_fr_fr_test_subset,fleurs_ja_jp_test_subset,fleurs_sk_sk_test_subset",40,0.2986135334,0.03202077175,,,
aws_cloud,standard,far_field_plenary,"voxpopuli_de_test_subset,voxpopuli_en_test_subset,voxpopuli_es_test_subset",30,0.06458750714,0.04104222374,,,
aws_cloud,standard,harder_read,librispeech_test_other_subset,10,0.03550295858,0.01313868613,,,
aws_cloud,standard,multilingual_audiobook,"mls_german_test_subset,mls_spanish_test_subset",20,0.03292080772,0.01401690981,,,
azure_cloud,standard,clean_read,"librispeech_test_clean_subset,mini_librispeech_dev_clean_2_subset",20,0.01361993885,0.003303471445,,,
azure_cloud,standard,crowdsourced_mobile,"fleurs_en_us_test_subset,fleurs_fr_fr_test_subset,fleurs_ja_jp_test_subset,fleurs_sk_sk_test_subset",39,0.3055001537,0.08089626513,,,
azure_cloud,standard,far_field_plenary,"voxpopuli_de_test_subset,voxpopuli_en_test_subset,voxpopuli_es_test_subset",30,0.1703662302,0.124241646,,,
azure_cloud,standard,harder_read,librispeech_test_other_subset,10,0.07692307692,0.04233576642,,,
azure_cloud,standard,multilingual_audiobook,"mls_german_test_subset,mls_spanish_test_subset",20,0.3585497513,0.3490210544,,,
google_cloud,balanced,clean_read,"librispeech_test_clean_subset,mini_librispeech_dev_clean_2_subset",20,0.02449504308,0.01038167227,,,
google_cloud,balanced,crowdsourced_mobile,"fleurs_en_us_test_subset,fleurs_fr_fr_test_subset,fleurs_ja_jp_test_subset,fleurs_sk_sk_test_subset",40,0.4240473955,0.06402762384,,,
google_cloud,balanced,far_field_plenary,"voxpopuli_de_test_subset,voxpopuli_en_test_subset,voxpopuli_es_test_subset",30,0.1267288019,0.0666916949,,,
google_cloud,balanced,harder_read,librispeech_test_other_subset,10,0.1124260355,0.0496350365,,,
google_cloud,balanced,multilingual_audiobook,"mls_german_test_subset,mls_spanish_test_subset",20,0.0601682599,0.01965351459,,,
huggingface_local,balanced,clean_read,"librispeech_test_clean_subset,mini_librispeech_dev_clean_2_subset",20,0.01561197072,0.007278835386,,,
huggingface_local,balanced,crowdsourced_mobile,"fleurs_en_us_test_subset,fleurs_fr_fr_test_subset,fleurs_ja_jp_test_subset,fleurs_sk_sk_test_subset",40,0.3661936228,0.0581927045,,,
huggingface_local,balanced,far_field_plenary,"voxpopuli_de_test_subset,voxpopuli_en_test_subset,voxpopuli_es_test_subset",30,0.1292959941,0.06411130949,,,
huggingface_local,balanced,harder_read,librispeech_test_other_subset,10,0.04733727811,0.02189781022,,,
huggingface_local,balanced,multilingual_audiobook,"mls_german_test_subset,mls_spanish_test_subset",19,0.05101308947,0.01757385644,,,
vosk_local,en_small,clean_read,"librispeech_test_clean_subset,mini_librispeech_dev_clean_2_subset",20,0.0609422774,0.02339492348,,,
vosk_local,en_small,crowdsourced_mobile,"fleurs_en_us_test_subset,fleurs_fr_fr_test_subset,fleurs_ja_jp_test_subset,fleurs_sk_sk_test_subset",40,3.27601509,0.9549491307,,,
vosk_local,en_small,far_field_plenary,"voxpopuli_de_test_subset,voxpopuli_en_test_subset,voxpopuli_es_test_subset",30,0.9495054344,0.5081861037,,,
vosk_local,en_small,harder_read,librispeech_test_other_subset,10,0.1952662722,0.09781021898,,,
vosk_local,en_small,multilingual_audiobook,"mls_german_test_subset,mls_spanish_test_subset",20,1.294414205,0.7503340517,,,
whisper_local,light,clean_read,"librispeech_test_clean_subset,mini_librispeech_dev_clean_2_subset",20,0.04899008617,0.02094998134,,,
whisper_local,light,crowdsourced_mobile,"fleurs_en_us_test_subset,fleurs_fr_fr_test_subset,fleurs_ja_jp_test_subset,fleurs_sk_sk_test_subset",40,0.5829341043,0.183008457,,,
whisper_local,light,far_field_plenary,"voxpopuli_de_test_subset,voxpopuli_en_test_subset,voxpopuli_es_test_subset",30,0.2152110372,0.08857377866,,,
whisper_local,light,harder_read,librispeech_test_other_subset,10,0.1479289941,0.06861313869,,,
whisper_local,light,multilingual_audiobook,"mls_german_test_subset,mls_spanish_test_subset",20,0.1404437584,0.04000828912,,,
