provider,model,dataset,language,acoustic_profile,samples,wer,cer,ser,exact_match_rate,normalization_profile
aws_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.09090909091,0.03818827709,0.6,0.4,normalized-v1
aws_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,0.04237288136,0.0146460537,0.4,0.6,normalized-v1
aws_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,0.9714285714,0.06135986733,0.9,0.1,normalized-v1
aws_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,0.08974358974,0.01388888889,0.6,0.4,normalized-v1
aws_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,10,0.003984063745,0.002659574468,0.1,0.9,normalized-v1
aws_cloud,standard,librispeech_test_other_subset,en-US,harder_read,10,0.03550295858,0.01313868613,0.5,0.5,normalized-v1
aws_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.01744186047,0.001315789474,0.2,0.8,normalized-v1
aws_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,10,0.03367003367,0.009283819629,0.5,0.5,normalized-v1
aws_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,0.03217158177,0.01875,0.4,0.6,normalized-v1
aws_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,0.08415841584,0.04782608696,0.8,0.2,normalized-v1
aws_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,10,0.03629032258,0.02318145484,0.3,0.7,normalized-v1
aws_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,0.07331378299,0.05211912944,0.8,0.2,normalized-v1
azure_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,0.1148325359,0.0674955595,0.7,0.3,normalized-v1
azure_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,0.05508474576,0.016273393,0.6,0.4,normalized-v1
azure_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,9,0.96875,0.208566108,0.8888888889,0.1111111111,normalized-v1
azure_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,0.08333333333,0.03125,0.4,0.6,normalized-v1
azure_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,10,0.003984063745,0.002659574468,0.1,0.9,normalized-v1
azure_cloud,standard,librispeech_test_other_subset,en-US,harder_read,10,0.07692307692,0.04233576642,0.6,0.4,normalized-v1
azure_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,0.02325581395,0.003947368421,0.3,0.7,normalized-v1
azure_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,10,0.5589225589,0.5311671088,1,0,normalized-v1
azure_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,0.1581769437,0.166875,0.7,0.3,normalized-v1
