provider,model,dataset,language,acoustic_profile,total_attempts,successful_attempts,failed_attempts,success_rate,timeout_count,rate_limit_count,auth_error_count,provider_error_count,oom_count,sanitized_error_summary
aws_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,librispeech_test_other_subset,en-US,harder_read,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,10,10,0,1,0,0,0,0,0,
aws_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,fleurs_ja_jp_test_subset,ja-JP,crowdsourced_mobile,10,9,1,0.9,0,0,0,1,0,no_match
azure_cloud,standard,fleurs_sk_sk_test_subset,sk-SK,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,librispeech_test_clean_subset,en-US,clean_read,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,librispeech_test_other_subset,en-US,harder_read,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,mini_librispeech_dev_clean_2_subset,en-US,clean_read,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,mls_german_test_subset,de-DE,multilingual_audiobook,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,mls_spanish_test_subset,es-ES,multilingual_audiobook,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,voxpopuli_de_test_subset,de-DE,far_field_plenary,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,voxpopuli_en_test_subset,en-US,far_field_plenary,10,10,0,1,0,0,0,0,0,
azure_cloud,standard,voxpopuli_es_test_subset,es-ES,far_field_plenary,10,10,0,1,0,0,0,0,0,
google_cloud,balanced,fleurs_en_us_test_subset,en-US,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
google_cloud,balanced,fleurs_fr_fr_test_subset,fr-FR,crowdsourced_mobile,10,10,0,1,0,0,0,0,0,
