comparison_tier,provider,model,clean_wer,snr_20_wer,snr_10_wer,snr_5_wer,snr_0_wer,noise_deg_pp
accurate_or_high_quality,google_cloud,accurate,0.02788844622,0.02390438247,0.0438247012,0.09561752988,0.1752988048,14.74103586
accurate_or_high_quality,whisper_local,accurate,0.01195219124,0.01195219124,0.02788844622,0.02788844622,0.05577689243,4.38247012
balanced,aws_cloud,standard,0.003984063745,0.003984063745,0.003984063745,0.003984063745,0.01195219124,0.796812749
balanced,azure_cloud,standard,0.003984063745,0.003984063745,0.01195219124,0.01195219124,0.08764940239,8.366533865
balanced,google_cloud,balanced,0.01992031873,0.02788844622,0.03984063745,0.05577689243,0.1274900398,10.75697211
balanced,huggingface_local,balanced,0.00796812749,0.01593625498,0.02788844622,0.02788844622,0.09163346614,8.366533865
balanced,whisper_local,balanced,0.01593625498,0.01992031873,0.03984063745,0.05577689243,0.1593625498,14.34262948
fast_or_low_resource,google_cloud,light,0.05577689243,0.05577689243,0.06374501992,0.1314741036,0.2908366534,23.5059761
fast_or_low_resource,huggingface_local,light,0.02788844622,0.1155378486,0.1235059761,0.1314741036,0.3266932271,29.88047809
fast_or_low_resource,vosk_local,en_small,0.06374501992,0.07569721116,0.1195219124,0.2310756972,0.7729083665,70.91633466
fast_or_low_resource,whisper_local,light,0.03984063745,0.04780876494,0.05179282869,0.1274900398,0.3466135458,30.67729084
