comparison_tier,provider,model,dataset,language,samples,wer,cer,ser,ci_95_low,ci_95_high,normalization_profile
accurate_or_high_quality,google_cloud,accurate,librispeech_test_clean_subset,en-US,10,0.02788844622,0.01507092199,0.6,,,normalized-v1
accurate_or_high_quality,whisper_local,accurate,librispeech_test_clean_subset,en-US,10,0.01195219124,0.008865248227,0.3,,,normalized-v1
balanced,aws_cloud,standard,librispeech_test_clean_subset,en-US,10,0.003984063745,0.002659574468,0.1,,,normalized-v1
balanced,azure_cloud,standard,librispeech_test_clean_subset,en-US,10,0.003984063745,0.002659574468,0.1,,,normalized-v1
balanced,google_cloud,balanced,librispeech_test_clean_subset,en-US,10,0.01992031873,0.01418439716,0.4,,,normalized-v1
balanced,huggingface_local,balanced,librispeech_test_clean_subset,en-US,10,0.00796812749,0.007978723404,0.2,,,normalized-v1
balanced,whisper_local,balanced,librispeech_test_clean_subset,en-US,10,0.01593625498,0.007092198582,0.4,,,normalized-v1
fast_or_low_resource,google_cloud,light,librispeech_test_clean_subset,en-US,10,0.05577689243,0.02393617021,0.8,,,normalized-v1
fast_or_low_resource,huggingface_local,light,librispeech_test_clean_subset,en-US,10,0.02788844622,0.01507092199,0.5,,,normalized-v1
fast_or_low_resource,vosk_local,en_small,librispeech_test_clean_subset,en-US,10,0.06374501992,0.02836879433,0.9,,,normalized-v1
fast_or_low_resource,whisper_local,light,librispeech_test_clean_subset,en-US,10,0.03984063745,0.02216312057,0.7,,,normalized-v1
