comparison_tier,provider,model,device,cpu_pct_mean,cpu_pct_peak,ram_mb_peak,gpu_util_pct_mean,gpu_mem_mb_peak,model_size_mb,cpu_available,ram_available,gpu_available,model_size_available,resource_metrics_available
accurate_or_high_quality,google_cloud,accurate,cloud,4.20314492,50,2376.414062,6.798051282,783,,true,true,true,false,true
accurate_or_high_quality,whisper_local,accurate,local,35.16408355,100,2852.316406,9.652625985,983,,true,true,true,false,true
balanced,huggingface_local,balanced,local,10.4605594,50,3347.15625,33.77484615,4654,,true,true,true,false,true
balanced,whisper_local,balanced,local,30.72951632,91.2,1084.660156,5.564190476,669,,true,true,true,false,true
balanced,azure_cloud,standard,cloud,16.12443378,100,2170.546875,27.84523812,4842,,true,true,true,false,true
balanced,google_cloud,balanced,cloud,6.879522987,66.5,2139.773438,8.598812576,807,,true,true,true,false,true
balanced,aws_cloud,standard,cloud,6.597893714,100,2271.699219,11.45774597,4798,,true,true,true,false,true
fast_or_low_resource,whisper_local,light,local,32.41085599,100,992.7148438,9.955,669,,true,true,true,false,true
fast_or_low_resource,huggingface_local,light,local,10.66544872,50,2316.742188,17.89880952,1607,,true,true,true,false,true
fast_or_low_resource,google_cloud,light,cloud,5.232556403,50,1907.617188,9.656999695,805,,true,true,true,false,true
fast_or_low_resource,vosk_local,en_small,local,12.40209358,100,2089.046875,11.61965873,869,,true,true,true,false,true
